2024-12-09 20:46:27.650	[37mDEBUG[0m	[37m[PID:11292]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[open_im_sdk/api.go:48]                           	login start...                                    	{"operationID": "1733748387650234600", "userID": "1774339254", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo"}
2024-12-09 20:46:28.284	[31mERROR[0m	[31m[PID:11292]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:106]                      	ApiRequest                                        	{"operationID": "1733748388249386100", "type": "network error", "error": "Post \"http://127.0.0.1:10002/user/get_users_info\": dial tcp 127.0.0.1:10002: connectex: No connection could be made because the target machine actively refused it."}
2024-12-09 20:46:28.286	[31mERROR[0m	[31m[PID:11292]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:75]                       	CallApi                                           	{"operationID": "1733748388249386100", "duration": "36ms", "api": "/user/get_users_info", "state": "failed", "error": "ApiPost http.Client.Do failed Post \"http://127.0.0.1:10002/user/get_users_info\": dial tcp 127.0.0.1:10002: connectex: No connection could be made because the target machine actively refused it.: 10000 network error"}
2024-12-09 20:48:07.542	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[open_im_sdk/api.go:48]                           	login start...                                    	{"operationID": "1733748487542841300", "userID": "1774339254", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo"}
2024-12-09 20:48:07.547	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[db/db_init.go:118]                               	open db success                                   	{"operationID": "1733748487542841300"}
2024-12-09 20:48:07.548	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[db/db_init.go:133]                               	version data migrate success                      	{"operationID": "1733748487542841300"}
2024-12-09 20:48:07.550	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/msg_sync.go:163]                     	loadSeq                                           	{"operationID": "1733748487542841300", "syncedMaxSeqs": {}}
2024-12-09 20:48:07.550	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[open_im_sdk/api.go:60]                           	login success...                                  	{"operationID": "1733748487542841300", "login cost time: ": 0.006989}
2024-12-09 20:48:07.550	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:315]                	heartbeat start                                   	{"operationID": "1733748487542841300", "goroutine ID:": 46}
2024-12-09 20:48:07.550	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:192]                	readPump start                                    	{"operationID": "1733748487542841300", "goroutine ID:": 44}
2024-12-09 20:48:07.550	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:258]                	writePump start                                   	{"operationID": "1733748487542841300", "goroutine ID:": 45}
2024-12-09 20:48:07.551	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:96]                       	ApiRequest                                        	{"operationID": "1733748487551354800", "url": "http://14.29.213.197:10002/user/get_users_info", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo", "body": "{\"userIDs\":[\"1774339254\"]}"}
2024-12-09 20:48:07.551	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:647]                	conn start                                        	{"operationID": "1733748488451284036", "url": "ws://14.29.213.197:10001?sendID=1774339254&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo&platformID=3&operationID=1733748488451284036&isBackground=false&compression=gzip"}
2024-12-09 20:48:07.620	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:581]                	writeConnFirstSubMsg getNewConnSubUserIDs         	{"operationID": "1733748488451284036", "userIDs": []}
2024-12-09 20:48:07.623	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:699]                	long conn establish success                       	{"operationID": "1733748488451284036", "localAddr": "172.16.8.127:59654", "connNum": 1}
2024-12-09 20:48:07.625	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[common/cmd.go:46]                                	sendCmd chan success                              	{"operationID": "1733748488451284036", "caller": "github.com/openimsdk/openim-sdk-core/v3/internal/interaction.(*LongConnMgr).reConn:701", "cmd": "connSuccess", "value": null}
2024-12-09 20:48:07.625	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/msg_sync.go:201]                     	recv long conn mgr connected                      	{"operationID": "1733748488451284036", "cmd": "connSuccess", "value": null}
2024-12-09 20:48:07.627	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:489]                	recv msg                                          	{"operationID": "1733748488451284036", "errCode": 0, "errMsg": "", "reqIdentifier": 2100}
2024-12-09 20:48:07.628	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[common/cmd.go:46]                                	sendCmd chan success                              	{"operationID": "test", "caller": "github.com/openimsdk/openim-sdk-core/v3/internal/interaction.(*MsgSyncer).doConnected:350", "cmd": "syncFlag", "value": {"Msgs":null,"SyncFlag":1005}}
2024-12-09 20:48:07.630	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[common/cmd.go:82]                                	recv cmd                                          	{"operationID": "test", "caller": "github.com/openimsdk/openim-sdk-core/v3/internal/interaction.(*MsgSyncer).doConnected:350", "cmd": "syncFlag", "value": {"Msgs":null,"SyncFlag":1005}}
2024-12-09 20:48:07.630	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:131]                      	ApiResponse                                       	{"operationID": "1733748487551354800", "url": "http://14.29.213.197:10002/user/get_users_info", "status": "200 OK", "body": "{\"errCode\":0,\"errMsg\":\"\",\"errDlt\":\"\",\"data\":{\"usersInfo\":[{\"userID\":\"1774339254\",\"nickname\":\"OpenIM-Gordon\",\"faceURL\":\"\",\"ex\":\"\",\"createTime\":1733194516600,\"appMangerLevel\":0,\"globalRecvMsgOpt\":0}]}}"}
2024-12-09 20:48:07.632	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:159]                	send message to send channel success              	{"operationID": "test", "msg": "userID:\"1774339254\"", "reqIdentifier": 1001}
2024-12-09 20:48:07.633	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:281]                	writePump recv message                            	{"operationID": "1733748488451284036", "reqIdentifier": 1001, "operationID": "test", "sendID": "1774339254"}
2024-12-09 20:48:07.633	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[conversation_msg/notification.go:49]             	NotificationCmd start                             	{"operationID": "test", "caller": "github.com/openimsdk/openim-sdk-core/v3/internal/interaction.(*MsgSyncer).doConnected:350", "cmd": "syncFlag", "value": {"Msgs":null,"SyncFlag":1005}}
2024-12-09 20:48:07.634	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[conversation_msg/notification.go:75]             	AppDataSyncStart                                  	{"operationID": "test"}
2024-12-09 20:48:07.635	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:73]                       	CallApi                                           	{"operationID": "1733748487551354800", "duration": "84ms", "api": "/user/get_users_info", "state": "success"}
2024-12-09 20:48:07.637	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:96]                       	ApiRequest                                        	{"operationID": "test", "url": "http://14.29.213.197:10002/friend/get_incremental_friends", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo", "body": "{\"userID\":\"1774339254\",\"versionID\":\"\",\"version\":0}"}
2024-12-09 20:48:07.639	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:96]                       	ApiRequest                                        	{"operationID": "test", "url": "http://14.29.213.197:10002/group/get_incremental_join_groups", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo", "body": "{\"userID\":\"1774339254\",\"versionID\":\"\",\"version\":0}"}
2024-12-09 20:48:07.668	[34mINFO[0m	[34m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:489]                	recv msg                                          	{"operationID": "test", "errCode": 0, "errMsg": "", "reqIdentifier": 1001}
2024-12-09 20:48:07.669	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/msg_sync.go:360]                     	get max seq success                               	{"operationID": "test", "resp": {"n_1096273966_1774339254":66,"n_1110659206_1774339254":406,"n_1162325805_1774339254":419,"n_1523453548":3,"n_1774339254_2081071691":1,"n_1774339254_2174131105":96,"n_1774339254_2386333900":1,"n_1774339254_2605787795":1,"n_1774339254_2957504388":1,"n_1774339254_2967484045":101,"n_1774339254_3295078513":1,"n_1774339254_3632974546":1,"n_1774339254_3691628604":26,"n_1774339254_4126026808":9,"n_1774339254_6540774897":1,"n_1774339254_9072694451":17,"n_1774339254_9287067436":1,"n_1774339254_9541869975":1,"n_4179637763":6,"sg_1219219105":143,"sg_1523453548":423,"sg_3426116923":103,"sg_4071516069":3,"sg_4179637763":698,"si_1002940655_1774339254":1,"si_1096273966_1774339254":97,"si_1110659206_1774339254":469,"si_1162325805_1774339254":552,"si_1774222531_1774339254":1,"si_1774339254_1820389126":1,"si_1774339254_1907513254":1,"si_1774339254_2081071691":1,"si_1774339254_2103604544":1,"si_1774339254_2174131105":122,"si_1774339254_2386333900":1,"si_1774339254_2605787795":1,"si_1774339254_2943338144":1,"si_1774339254_2957504388":1,"si_1774339254_2967484045":104,"si_1774339254_3223656619":1,"si_1774339254_3295078513":1,"si_1774339254_3434955328":1,"si_1774339254_3632974546":1,"si_1774339254_3691628604":33,"si_1774339254_3784783162":1,"si_1774339254_3939411690":1,"si_1774339254_4126026808":9,"si_1774339254_4135999845":1,"si_1774339254_4405062716":1,"si_1774339254_4593291764":1,"si_1774339254_5116875094":1,"si_1774339254_5384324178":1,"si_1774339254_5406936000":1,"si_1774339254_5426072501":1,"si_1774339254_5532933899":1,"si_1774339254_5594346901":1,"si_1774339254_5662941678":1,"si_1774339254_6040944208":1,"si_1774339254_6247340437":1,"si_1774339254_6540774897":1,"si_1774339254_8078413685":1,"si_1774339254_8107310002":1,"si_1774339254_8195248620":1,"si_1774339254_8377204938":1,"si_1774339254_8429982232":1,"si_1774339254_8678065510":1,"si_1774339254_8705708575":1,"si_1774339254_9072694451":20,"si_1774339254_9159790936":1,"si_1774339254_9287067436":2,"si_1774339254_9313895242":1,"si_1774339254_9358235511":1,"si_1774339254_9365108004":1,"si_1774339254_9541869975":1}}
2024-12-09 20:48:07.677	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/msg_sync.go:453]                     	current sync seqMap                               	{"operationID": "test", "seqMap": {"sg_1219219105":[0,143],"sg_1523453548":[0,423],"sg_3426116923":[0,103],"sg_4071516069":[0,3],"sg_4179637763":[0,698],"si_1002940655_1774339254":[0,1],"si_1096273966_1774339254":[0,97],"si_1110659206_1774339254":[0,469],"si_1162325805_1774339254":[0,552],"si_1774222531_1774339254":[0,1],"si_1774339254_1820389126":[0,1],"si_1774339254_1907513254":[0,1],"si_1774339254_2081071691":[0,1],"si_1774339254_2103604544":[0,1],"si_1774339254_2174131105":[0,122],"si_1774339254_2386333900":[0,1],"si_1774339254_2605787795":[0,1],"si_1774339254_2943338144":[0,1],"si_1774339254_2957504388":[0,1],"si_1774339254_2967484045":[0,104],"si_1774339254_3223656619":[0,1],"si_1774339254_3295078513":[0,1],"si_1774339254_3434955328":[0,1],"si_1774339254_3632974546":[0,1],"si_1774339254_3691628604":[0,33],"si_1774339254_3784783162":[0,1],"si_1774339254_3939411690":[0,1],"si_1774339254_4126026808":[0,9],"si_1774339254_4135999845":[0,1],"si_1774339254_4405062716":[0,1],"si_1774339254_4593291764":[0,1],"si_1774339254_5116875094":[0,1],"si_1774339254_5384324178":[0,1],"si_1774339254_5406936000":[0,1],"si_1774339254_5426072501":[0,1],"si_1774339254_5532933899":[0,1],"si_1774339254_5594346901":[0,1],"si_1774339254_5662941678":[0,1],"si_1774339254_6040944208":[0,1],"si_1774339254_6247340437":[0,1],"si_1774339254_6540774897":[0,1],"si_1774339254_8078413685":[0,1],"si_1774339254_8107310002":[0,1],"si_1774339254_8195248620":[0,1],"si_1774339254_8377204938":[0,1],"si_1774339254_8429982232":[0,1],"si_1774339254_8678065510":[0,1],"si_1774339254_8705708575":[0,1],"si_1774339254_9072694451":[0,20],"si_1774339254_9159790936":[0,1],"si_1774339254_9287067436":[0,2],"si_1774339254_9313895242":[0,1],"si_1774339254_9358235511":[0,1],"si_1774339254_9365108004":[0,1],"si_1774339254_9541869975":[0,1]}}
2024-12-09 20:48:07.677	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:131]                      	ApiResponse                                       	{"operationID": "test", "url": "http://14.29.213.197:10002/friend/get_incremental_friends", "status": "200 OK", "body": "{\"errCode\":0,\"errMsg\":\"\",\"errDlt\":\"\",\"data\":{\"version\":42,\"versionID\":\"674e7314ff48efe397284c37\",\"full\":true,\"delete\":null,\"insert\":null,\"update\":null,\"sortVersion\":0}}"}
2024-12-09 20:48:07.677	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/msg_sync.go:533]                     	pullMsgBySeqRange                                 	{"operationID": "test", "seqMap": {"sg_1219219105":[0,143],"sg_1523453548":[0,423],"sg_3426116923":[0,103],"sg_4071516069":[0,3],"sg_4179637763":[0,698],"si_1002940655_1774339254":[0,1],"si_1096273966_1774339254":[0,97],"si_1110659206_1774339254":[0,469],"si_1162325805_1774339254":[0,552],"si_1774222531_1774339254":[0,1],"si_1774339254_1820389126":[0,1],"si_1774339254_1907513254":[0,1],"si_1774339254_2081071691":[0,1],"si_1774339254_2103604544":[0,1],"si_1774339254_2174131105":[0,122],"si_1774339254_2386333900":[0,1],"si_1774339254_2605787795":[0,1],"si_1774339254_2943338144":[0,1],"si_1774339254_2957504388":[0,1],"si_1774339254_2967484045":[0,104],"si_1774339254_3223656619":[0,1],"si_1774339254_3295078513":[0,1],"si_1774339254_3434955328":[0,1],"si_1774339254_3632974546":[0,1],"si_1774339254_3691628604":[0,33],"si_1774339254_3784783162":[0,1],"si_1774339254_3939411690":[0,1],"si_1774339254_4126026808":[0,9],"si_1774339254_4135999845":[0,1],"si_1774339254_4405062716":[0,1],"si_1774339254_4593291764":[0,1],"si_1774339254_5116875094":[0,1],"si_1774339254_5384324178":[0,1],"si_1774339254_5406936000":[0,1],"si_1774339254_5426072501":[0,1],"si_1774339254_5532933899":[0,1],"si_1774339254_5594346901":[0,1],"si_1774339254_5662941678":[0,1],"si_1774339254_6040944208":[0,1],"si_1774339254_6247340437":[0,1],"si_1774339254_6540774897":[0,1],"si_1774339254_8078413685":[0,1],"si_1774339254_8107310002":[0,1],"si_1774339254_8195248620":[0,1],"si_1774339254_8377204938":[0,1],"si_1774339254_8429982232":[0,1],"si_1774339254_8678065510":[0,1],"si_1774339254_8705708575":[0,1],"si_1774339254_9072694451":[0,20],"si_1774339254_9159790936":[0,1],"si_1774339254_9287067436":[0,2],"si_1774339254_9313895242":[0,1],"si_1774339254_9358235511":[0,1],"si_1774339254_9365108004":[0,1],"si_1774339254_9541869975":[0,1]}, "syncMsgNum": 1}
2024-12-09 20:48:07.678	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:73]                       	CallApi                                           	{"operationID": "test", "duration": "40ms", "api": "/friend/get_incremental_friends", "state": "success"}
2024-12-09 20:48:07.679	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:281]                	writePump recv message                            	{"operationID": "1733748488451284036", "reqIdentifier": 1002, "operationID": "test", "sendID": "1774339254"}
2024-12-09 20:48:07.679	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[interaction/long_conn_mgr.go:159]                	send message to send channel success              	{"operationID": "test", "msg": "userID:\"1774339254\"  seqRanges:{conversationID:\"si_1774339254_5384324178\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_2967484045\"  end:104  num:1}  seqRanges:{conversationID:\"si_1774339254_2943338144\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3632974546\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_9072694451\"  end:20  num:1}  seqRanges:{conversationID:\"si_1774339254_4135999845\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5594346901\"  end:1  num:1}  seqRanges:{conversationID:\"si_1002940655_1774339254\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_2174131105\"  end:122  num:1}  seqRanges:{conversationID:\"si_1774339254_2386333900\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3295078513\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_9313895242\"  end:1  num:1}  seqRanges:{conversationID:\"sg_1523453548\"  end:423  num:1}  seqRanges:{conversationID:\"si_1774339254_8705708575\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_8078413685\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_9358235511\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_9541869975\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_8377204938\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5662941678\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3223656619\"  end:1  num:1}  seqRanges:{conversationID:\"sg_1219219105\"  end:143  num:1}  seqRanges:{conversationID:\"si_1774339254_9365108004\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_4405062716\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_4593291764\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774222531_1774339254\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_2103604544\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_8678065510\"  end:1  num:1}  seqRanges:{conversationID:\"sg_4179637763\"  end:698  num:1}  seqRanges:{conversationID:\"si_1774339254_9159790936\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_8107310002\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5532933899\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5426072501\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_1820389126\"  end:1  num:1}  seqRanges:{conversationID:\"sg_4071516069\"  end:3  num:1}  seqRanges:{conversationID:\"sg_3426116923\"  end:103  num:1}  seqRanges:{conversationID:\"si_1774339254_2957504388\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_6540774897\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3434955328\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_9287067436\"  end:2  num:1}  seqRanges:{conversationID:\"si_1774339254_2605787795\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_1907513254\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_6040944208\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_4126026808\"  end:9  num:1}  seqRanges:{conversationID:\"si_1774339254_8429982232\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5116875094\"  end:1  num:1}  seqRanges:{conversationID:\"si_1096273966_1774339254\"  end:97  num:1}  seqRanges:{conversationID:\"si_1162325805_1774339254\"  end:552  num:1}  seqRanges:{conversationID:\"si_1774339254_2081071691\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3691628604\"  end:33  num:1}  seqRanges:{conversationID:\"si_1774339254_6247340437\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_8195248620\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_5406936000\"  end:1  num:1}  seqRanges:{conversationID:\"si_1110659206_1774339254\"  end:469  num:1}  seqRanges:{conversationID:\"si_1774339254_3784783162\"  end:1  num:1}  seqRanges:{conversationID:\"si_1774339254_3939411690\"  end:1  num:1}", "reqIdentifier": 1002}
2024-12-09 20:48:07.689	[37mDEBUG[0m	[37m[PID:13252]    [0m	[3.9.0]                       	[AppFramework_/Windows]                           	[network/http_client.go:96]                       	ApiRequest                                        	{"operationID": "test", "url": "http://14.29.213.197:10002/friend/get_friend_list", "token": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJVc2VySUQiOiIxNzc0MzM5MjU0IiwiUGxhdGZvcm1JRCI6MywiZXhwIjoxNzQwOTcxNDI5LCJuYmYiOjE3MzMxOTUxMjksImlhdCI6MTczMzE5NTQyOX0.xiBv-HTorqUWzCylF8fSWt_CyWpiOwqgvHNxisdBuXo", "body": "{\"pagination\":{\"pageNumber\":1,\"showNumber\":100},\"userID\":\"1774339254\"}"}
